title,symptom,root_cause,fix,prevention,category,severity,status,affected_services,first_seen,last_seen,occurrence_count,tags
OpenClaw Telegram bot stops responding (google provider 404),OpenClaw Telegram bot stops responding.,Manually-defined google provider in models.providers with api: 'openai-responses' causes 404.,Remove the manual google provider block from openclaw.json and agents/main/agent/models.json, then restart OpenClaw.,Never define a manual google provider block in openclaw.json.,openclaw,high,resolved,"OpenClaw,Telegram Bot,Gemini API (Google)",2026-02-26,2026-02-26,1,"openclaw,telegram,gemini,provider-config"
OpenClaw rewrites model config on startup when alias unresolved,"After container restart, agent models revert to unexpected values.",OpenClaw reads config on startup and rewrites it if primary model alias cannot be resolved.,Use full path format for primary and fallbacks: openrouter/<model-id> or google/<model-id>.,Always use full model paths in primary/fallbacks fields.,openclaw,medium,resolved,OpenClaw,2026-02-20,2026-02-26,3,"openclaw,model-config,aliases"
n8n 2.x webhook URLs return 404 (missing workflowId prefix),Webhook endpoints return 404.,n8n 2.x changed webhook URL format from /webhook/{path} to /webhook/{workflowId}/webhook/{path}.,Update all webhook URLs to include the workflowId prefix: /webhook/{workflowId}/webhook/{path}.,Always use workflowId-prefixed format for new workflows.,n8n,critical,resolved,n8n,2026-02-19,2026-02-19,1,"n8n,webhook,url-format,upgrade"
n8n Webhook node names with spaces break webhook registration,Webhooks fail to load at n8n startup.,"Node names with spaces get URL-encoded in the database (%20 substitution), which breaks webhook path matching at startup.","Rename all Webhook nodes to 'Webhook', deactivate the workflow, patch the node names, and restart n8n to re-register paths.",Always name Webhook nodes exactly 'Webhook' with no spaces.,n8n,high,resolved,n8n,2026-02-19,2026-02-19,4,"n8n,webhook,node-naming"
n8n activeVersionId not synced after API PATCH — triggers don't fire,"After updating a workflow via API, cron schedules and webhooks stop firing.",API PATCH updates versionId (draft pointer) but NOT activeVersionId (live pointer).,"Run SQL to sync: UPDATE workflow_entity SET ""activeVersionId""=""versionId"" WHERE id='{wf_id}';","After any API workflow update, always sync activeVersionId in DB or perform a full n8n container restart.",n8n,high,resolved,"n8n,PostgreSQL AIDB",2026-02-19,2026-02-27,5,"n8n,versioning,activeVersionId,triggers"
n8n cron nodes never fire in n8n 2.x,Scheduled workflows never trigger.,Old n8n-nodes-base.cron node type is not compatible with n8n 2.x.,Migrate all cron trigger nodes to n8n-nodes-base.scheduleTrigger typeVersion 1.2.,Never use cron node type in new workflows.,n8n,high,resolved,n8n,2026-02-19,2026-02-27,6,"n8n,cron,scheduler,upgrade"
n8n IF node typeVersion 2.1 crashes with caseSensitive bug,Workflow execution crashes at IF node with TypeError or unexpected behavior.,IF node typeVersion 2.1 has a bug with the caseSensitive property that causes crashes when evaluating certain conditions.,Replace IF node with a Code node that returns $input.all() filtered by the condition manually in JavaScript.,Avoid IF node typeVersion 2.1.,n8n,medium,resolved,n8n,2026-02-27,2026-02-27,2,"n8n,if-node,bug,langchain"
docker exec into MT5 Wine container fails as root,docker exec commands to MT5 container fail with WINEPREFIX ownership error.,Wine rejects WINEPREFIX directories not owned by the current user.,Always use docker exec -u abc to run as the abc user who owns WINEPREFIX.,Add -u abc flag to all docker exec commands targeting MT5 Wine containers.,mt5,medium,resolved,"MT5 Demo Terminal,MT5 Live Terminal",2026-03-02,2026-03-02,2,"mt5,wine,docker,wineprefix"
socat not pre-installed in MT5 Docker image,MT5 bridge connection to n8n fails.,socat is not included in the base MT5 linuxserver/minetest-derived Docker image.,start.sh automatically runs apt-get install socat on startup if missing.,start.sh handles socat installation automatically.,mt5,high,resolved,"MT5 Demo Terminal,MT5 Live Terminal,EA AI Gateway",2026-03-02,2026-03-02,1,"mt5,socat,bridge,docker"
OpenRouter returns HTTP 402 on all calls including free models,n8n LangChain agent workflows fail with HTTP 402 Payment Required.,"OpenRouter billing flags accounts with no credits and blocks all requests with 402, even for free-tier models, when the account accumulates billing errors or usage anomalies.","Clear errorCount and usageStats in auth-profiles.json for the openrouter entry, then switch n8n agents to Gemini direct.",Use Gemini direct API as primary for all n8n agents.,n8n,critical,resolved,"n8n,OpenRouter,Gemini API (Google)",2026-02-20,2026-02-26,3,"n8n,openrouter,billing,langchain,402"
OpenClaw routes anthropic/ model IDs directly to Anthropic API (ignores OpenRouter),OpenClaw ignores OPENROUTER_API_KEY for models with anthropic/ prefix.,"OpenClaw detects the anthropic/ prefix in model IDs and routes directly to Anthropic API, ignoring any OpenRouter configuration.",Use openrouter/ prefix for all models that should route through OpenRouter.,Always prefix OpenRouter model IDs with openrouter/.,openclaw,high,resolved,"OpenClaw,OpenRouter",2026-02-20,2026-02-20,1,"openclaw,openrouter,model-routing,prefix"
numpy >= 2.0 breaks Wine Python in MT5 container,MT5 rpyc server crashes on startup.,Wine Python environment in MT5 containers does not support numpy >= 2.0.,Downgrade numpy inside Wine Python: docker exec -u abc vizion-mt5-demo wine python.exe -m pip install 'numpy<2.0'.,Pin numpy<2.0 in all Wine Python requirements files.,mt5,high,resolved,"MT5 Demo Terminal,MT5 Live Terminal",2026-03-02,2026-03-02,1,"mt5,wine,numpy,python,dependency"
NNDataLogger labels are sparse early in session,MT5 live labels only appear after closed trades.,NNDataLogger captures samples only on executed round trips, so the training set grows slowly during flat or paused sessions.,Use strategy tester backfill and keep the demo/live flow running long enough to collect labeled samples.,Keep a minimum daily closed-trade sample count before retraining.,mt5,medium,resolved,"MT5 Demo Terminal,MT5 Live Terminal,NN Server",2026-03-26,2026-03-26,2,"mt5,nn,training,labels"
