name,container_hostname,internal_url,external_url,host_port,category,status,description,health_check_url,health_check_cmd,team_owner,notes
OpenClaw,openclaw-xbkt-openclaw-1:48950,http://localhost:48950,https://openclaw.vizionai.iamvisioncorp.org/,48950,core,active,"AI agent platform and conversation orchestrator. Controls WhatsApp, Telegram, and workspace agent dispatch.",http://127.0.0.1:48950/,curl -sf http://127.0.0.1:48950/ && echo OK,vizion-infra,UI port 48950. WebSocket port 18789. Control API port 48950.
n8n,n8n-hxq9-n8n-1:5678,http://172.19.0.1:32769,https://n8n.vizionai.iamvisioncorp.org/,32769,core,active,"Workflow automation platform. Hosts 39 AI agent workflows plus system webhooks, cron jobs, and queue processors.",http://127.0.0.1:32769/,curl -sf http://127.0.0.1:32769/ && echo OK,vizion-infra,Internal port 5678 mapped to host 32769. Admin: admin@iamvisioncorp.org
PostgreSQL AIDB,postgresql-pv9y-postgresql-1:5432,postgresql://VizionAI:***@postgresql-pv9y-postgresql-1:5432/AIDB,,32770,core,active,"Primary relational database. Stores model_usage_log, trade_signals, trade_executions, platform_task, alert_event, sched_job, and all workspace tables.",,pg_isready -h localhost -p 32770 -U VizionAI,vizion-infra,External port 32770. DB name: AIDB. n8n credential ID: SwbG9UjrENs6DHXW
Caddy Reverse Proxy,host,,https://vizionai.iamvisioncorp.org/,"80,443",infra,active,TLS-terminating reverse proxy for all public-facing services. Routes *.vizionai.iamvisioncorp.org subdomains.,,systemctl is-active caddy,vizion-infra,"Config: /etc/caddy/Caddyfile. Terminates TLS for openclaw, n8n, api, mt5, nn subdomains."
MT5 Demo Terminal,vizion-mt5-demo,http://172.21.0.2:18812,https://mt5-demo.vizionai.iamvisioncorp.org/,3000,trading,active,MetaTrader 5 demo account terminal running in Docker with Wine. Hosts rpyc server for Python automation and EA execution.,http://172.19.0.1:18900/health,curl -sf http://172.19.0.1:18900/health,vizion-trading,VNC web UI port 3000. rpyc port 18812. docker exec -u abc for Wine commands.
MT5 Live Terminal,vizion-mt5-live,http://172.21.0.3:18812,https://mt5-live.vizionai.iamvisioncorp.org/,3001,trading,active,MetaTrader 5 live account terminal running in Docker with Wine. Hosts rpyc server for Python automation and EA execution.,http://172.19.0.1:18900/health,curl -sf http://172.19.0.1:18900/health,vizion-trading,VNC web UI port 3001. rpyc port 18812. docker exec -u abc for Wine commands.
MT5 Copytrade,vizion-mt5-copytrade,http://172.21.0.3:18812,,,trading,active,ZeroMQ-based copy trade relay: Demo (PUB) -> Bridge (SUB) -> Copytrade (DEALER) -> Live MT5.,,docker inspect vizion-mt5-copytrade --format '{{.State.Status}}',vizion-trading,ZMQ ports 5011/5012/5101/5102/5201/5202. Config: mt5-bridge/config/copytrade.env
MT5 REST Server,host systemd,http://172.19.0.1:18900,,18900,trading,active,"REST API bridge to MT5 rpyc servers. Provides /health, /trade, /account endpoints consumed by n8n EA Gateway workflow.",http://172.19.0.1:18900/health,curl -sf http://172.19.0.1:18900/health | jq .status,vizion-trading,Systemd service on host. Bridges n8n -> rpyc -> Wine MT5.
NN Server,host systemd vizion-nn.service,http://172.19.0.1:8000,https://nn.vizionai.iamvisioncorp.org/,8000,analytics,active,Neural network inference server for trading signal analysis. Provides prediction endpoints consumed by trading agents.,http://127.0.0.1:8000/health,curl -sf http://127.0.0.1:8000/health,vizion-analytics,Systemd service vizion-nn.service. Python FastAPI.
EA AI Gateway,n8n webhook 6VeJRjTNrrxCQK8u,http://172.19.0.1:32769/webhook/6VeJRjTNrrxCQK8u/webhook/ea-gateway,,,trading,active,"n8n workflow that acts as an AI-powered gateway for Expert Advisor requests. Handles ping, validate_trade, get_briefing, get_session, get_news_bias, report_trade, watchlist_status.",http://172.19.0.1:32769/webhook/6VeJRjTNrrxCQK8u/webhook/ea-gateway,"curl -sf -X POST -H 'Content-Type: application/json' -d '{""action"":""ping""}' http://172.19.0.1:32769/webhook/6VeJRjTNrrxCQK8u/webhook/ea-gateway",vizion-trading,Workflow ID: 6VeJRjTNrrxCQK8u. Model: gemini-2.5-flash-lite. HTTP 422 = n8n transient (advisory mode).
